brand,sellers,listing_active,where_voucher_works,website,how_confirmed,notes
Trends Man,maximize,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Trends Man In Store,buyhatke,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Trends Women,maximize,no,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Trends Women In Store,buyhatke,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Tridom In Store,buyhatke,yes,store only,,voucher terms,no website found
TripXOXO,buyhatke + maximize,yes,website,tripxoxo.com,extension list (#26),
Troll Beads,gyftr,no,website,trollbeads.com,extension list (#26),
TRUEFITT & HILL,gyftr,yes,store only,truefittandhill.in,page loaded and checked 2026-09-17,
TRUEFITT and HILL,maximize,yes,store only,truefittandhill.in,page loaded and checked 2026-09-17,
TRUEFITT HILL In Store,buyhatke,yes,store only,truefittandhill.in,page loaded and checked 2026-09-17,
Tumi - Luxe,maximize,yes,store only,tumi.in,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Tumi Luxe Brand In Store,buyhatke,yes,store only,tumi.in,page loaded and checked 2026-09-17,
TUMI- Luxe Gift Card,gyftr,no,website,tumi.in,extension list (#26),
Typsy Beauty,buyhatke + gyftr,yes,website,typsybeauty.com,extension list (#26),
UBER,buyhatke + gyftr,yes,website,uber.com,extension list (#26),
Unicorn Apple Premium In Store,buyhatke,yes,store only,unicornstore.in,page loaded and checked 2026-09-17,
Unicorn Apple Premium Partner,maximize,yes,store only,unicornstore.in,page loaded and checked 2026-09-17,
UniPin,buyhatke + gyftr + maximize,yes,website,unipin.com,extension list (#26),
UniPin BGMI,gyftr,yes,website,unipin.com,confirmed 2026-09-10: checked by hand,
Unipin- BGMI Voucher,maximize,yes,website,unipin.com,confirmed 2026-09-10: checked by hand,
United Colors of Benetton BAGLINE,buyhatke,yes,website,bagline.com,confirmed 2026-09-10: auto: name in address,
Unlimited,maximize,yes,store only,vmartretail.com,web search 2026-09-17,Unlimited stores are now run by V-Mart
Unlimited In Store,buyhatke,yes,store only,vmartretail.com,web search 2026-09-17,Unlimited stores are now run by V-Mart
Urban Ladder,buyhatke + maximize,yes,website,urbanladder.com,extension list (#26),
Urban Space,buyhatke + gyftr + maximize,yes,website,urbanspacestore.in,extension list (#26),
V Mart,gyftr + maximize,yes,store only,vmart.co.in,page loaded and checked 2026-09-17,
V Mart In Store,buyhatke,yes,store only,vmart.co.in,page loaded and checked 2026-09-17,
Vaango,maximize,yes,store only,vaango.in,web search 2026-09-17,
Vaango In Store,buyhatke,yes,store only,vaango.in,web search 2026-09-17,
Valentino Luxe In Store,buyhatke,yes,store only,valentino.com,page loaded and checked 2026-09-17,
VALENTINO- Luxe Gift Card,gyftr,yes,store only,valentino.com,page loaded and checked 2026-09-17,
Valorant,buyhatke + gyftr + maximize,yes,website,playvalorant.com,extension list (#26),
Valorant Gift Card,gyftr,yes,website,riotgames.com,confirmed 2026-09-10: checked by hand,
Van Heusen,maximize,yes,store only,vanheusenindia.abfrl.in,page loaded and checked 2026-09-17,
Van Heusen Gift Voucher,gyftr,no,store only,vanheusenindia.abfrl.in,page loaded and checked 2026-09-17,
Van Heusen In Store,buyhatke,yes,store only,vanheusenindia.abfrl.in,page loaded and checked 2026-09-17,
Vaya,buyhatke,yes,website,vaya.in,extension list (#26),
Veridicus,buyhatke + gyftr,yes,website,veridicushealthcares.com,extension list (#26),
Versace Luxe In Store,buyhatke,yes,store only,versace.com,site did not answer an automatic visit (2026-09-17),
VERSACE- Luxe Gift Card,gyftr,no,store only,versace.com,site did not answer an automatic visit (2026-09-17),
VICTORIA'S SECRET,buyhatke + gyftr + maximize,yes,store only,victoriassecret.in,web search: victoriassecret.in; brand's terms: accepted at listed Inglot / Victoria's Secret / Bath & Body Works / R&B stores; Gyftr: CANNOT be used online,
VICTORIA'S SECRET BEAUTY,gyftr + maximize,yes,store only,victoriassecret.in,page loaded and checked 2026-09-17,
Vijay Sales,gyftr + maximize,yes,store only,vijaysales.com,verified in Aug 2026 audit,
Vijay Sales In Store,buyhatke,yes,store only,vijaysales.com,page loaded and checked 2026-09-17,
VILLEROY AND BOCH- Luxe Gift Card,gyftr,yes,store only,villeroy-boch.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Villeroy Boch Luxe In Store,buyhatke,yes,store only,villeroy-boch.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Vinzberry,gyftr,no,website,vinzberry.com,extension list (#26),
Vitamin Haat,buyhatke,yes,website,vitaminhaat.com,extension list (#26),
VROTT,buyhatke + gyftr + maximize,yes,website,vrott.tv,extension list (#26),
W,gyftr,yes,store only,wforwoman.com,page loaded and checked 2026-09-17,
W For Woman In Store,buyhatke,yes,store only,wforwoman.com,page loaded and checked 2026-09-17,
W For Women,maximize,yes,store only,wforwoman.com,page loaded and checked 2026-09-17,
Wakefit,buyhatke + maximize,yes,website,wakefit.co,extension list (#26),
Water Bill Payment,gyftr,no,not a shop,,"bill payment / recharge, not a shop (inactive)",
Wellbeing Nutrition,buyhatke + gyftr + maximize,yes,website,wellbeingnutrition.com,extension list (#26),
Wendy's,buyhatke + gyftr + maximize,yes,website,wendys.com,extension list (#26),
West Elm Luxe In Store,buyhatke,yes,store only,westelm.in,page loaded and checked 2026-09-17,
WEST ELM- Luxe Gift Card,gyftr,yes,website,westelm.in,extension list (#26),
Westside,gyftr + maximize,no,store only,westside.com,page loaded and checked 2026-09-17,
Westside [No Cooling Period],maximize,no,store only,westside.com,page loaded and checked 2026-09-17,
Westside In Store,buyhatke,no,store only,westside.com,page loaded and checked 2026-09-17,
Westside In Store 8 Hr Wait,buyhatke,no,store only,westside.com,page loaded and checked 2026-09-17,
What's Up Wellness,gyftr,yes,website,whatsupwellness.in,extension list (#26),
White Crow In Store,buyhatke,yes,store only,,web search 2026-09-17,"Reliance multi-brand store, now renamed AJIO Luxe Store; no website of its own"
Wildcraft,gyftr + maximize,yes,store only,wildcraft.com,page loaded and checked 2026-09-17,
Wildcraft In Store,buyhatke,yes,store only,wildcraft.com,page loaded and checked 2026-09-17,
William Penn,gyftr + maximize,yes,store only,williampenn.net,page loaded and checked 2026-09-17,
William Penn In Store,buyhatke,yes,store only,williampenn.net,page loaded and checked 2026-09-17,
Woggles,buyhatke,yes,website,woggles.in,extension list (#26),
Wonderchef,buyhatke + gyftr + maximize,yes,website,wonderchef.com,extension list (#26),
Woodland,buyhatke + gyftr,yes,website,woodlandworldwide.com,extension list (#26),
Woodland In Store,buyhatke,yes,store only,woodlandworldwide.com,page loaded and checked 2026-09-17,
World of Titan,maximize,yes,website,titan.co.in,extension list (#26),
World of Titan 8 Hr Wait,buyhatke,yes,website,titan.co.in,confirmed 2026-09-10: checked by hand,
World of Titan In Store 1 Day Wait,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
World of Titan SmartWatch,maximize,yes,website,titan.co.in,confirmed 2026-09-10: checked by hand,
Wow China In Store,buyhatke,yes,store only,wowmomo.com,page loaded and checked 2026-09-17,
Wow Momo In Store,buyhatke,yes,store only,wowmomo.com,page loaded and checked 2026-09-17,
Wow!Chicken,buyhatke + gyftr,yes,store only,wowmomo.com,web search: wowmomo.com (Wow! Chicken by Wow! Momo); terms: accepted at listed outlets,
Wow!China,gyftr,yes,store only,wowmomo.com,page loaded and checked 2026-09-17,
Wow!Momo,gyftr,yes,store only,wowmomo.com,page loaded and checked 2026-09-17,
Wrangler,maximize,yes,store only,wrangler.in,page loaded and checked 2026-09-17,
Wrangler In Store,buyhatke,yes,store only,wrangler.in,page loaded and checked 2026-09-17,
Wynk Music,gyftr,no,website,wynk.in,extension list (#26),
Xbox Essential Game Pass,buyhatke,yes,website,xbox.com,confirmed 2026-09-10: auto: name in address,
Xbox Premium Game Pass,buyhatke,yes,website,xbox.com,extension list (#26),
Xbox Ultimate Game Pass,buyhatke,yes,website,xbox.com,confirmed 2026-09-10: auto: name in address,
Xfused,buyhatke,yes,website,goxfused.com,extension list (#26),
Yalla Ludo,gyftr + maximize,yes,website,yallaludo.com,extension list (#26),
Yatra,buyhatke + maximize,yes,website,yatra.com,extension list (#26),
Yatra - 1500,maximize,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra - 2000,maximize,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra - 500,maximize,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra Hotel,buyhatke + maximize,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra Hotel Gift Card,gyftr,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra Hotels and Holidays,buyhatke + maximize,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra Hotels Holidays,buyhatke,yes,website,yatra.com,confirmed 2026-09-10: auto: name in address,
Yatra Voucher,gyftr,no,website,yatra.com,confirmed 2026-09-10: auto: name in address,
YouMee,maximize,yes,store only,youmee.co.in,web search 2026-09-17,a Lite Bite Foods brand
YouMee In Store,buyhatke,yes,store only,youmee.co.in,web search 2026-09-17,a Lite Bite Foods brand
Zambar,maximize,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
Zambar In Store,buyhatke,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
Zee5,buyhatke + gyftr,yes,website,zee5.com,extension list (#26),
ZEE5 Regional,buyhatke,yes,website,zee5.com,confirmed 2026-09-10: auto: name in address,
Zepto,buyhatke + gyftr + maximize,yes,website,zeptonow.com,extension list (#26),
Zomato,buyhatke + maximize,yes,website,zomato.com,extension list (#26),
Zomato Gift Card,gyftr,yes,website,zomato.com,verified in Aug 2026 audit,
Zoomcar,buyhatke + gyftr + maximize,yes,website,zoomcar.com,extension list (#26),
Zouk,gyftr + maximize,yes,website,zouk.co.in,extension list (#26),
